document	date	dialect/place	lemma	POS	infl	form	pref	MHG?	PGmc	inflcat	class	form.norm	cons	MHG.norm	C.obs	C.exp	C.coding	V.obs	V.exp	V.coding
M3.xml	1475	Mbair	ziehen	VVPP	--	geczogen		N	teuhan-	ppl	2	geczogen	h	gezogen	g	g	conservative	o	o	conservative
M3.xml	1475	Mbair	lieren-	VVPP	--	verloren	ver	N	leusan-	ppl	2	loren	s	loren	r	r	conservative	o	o	conservative
M3.xml	1475	Mbair	ziehen	VVFIN	3.Sg.Past.Ind	czoech		N	teuhan-	PastSgInd3	2	czoech	h	zôch	h	h	conservative	o	o	conservative
M3.xml	1475	Mbair	fliehen	VVFIN	3.Pl.Past.Ind	fluhen		N	fleuhan-	PastPlInd3	2	fluhen	h	vluhen	h	g	innovative	u	u	conservative
M3.xml	1475	Mbair	fliehen	VVFIN	3.Sg.Past.Ind	floch		N	fleuhan-	PastSgInd3	2	floch	h	vlôch	h	h	conservative	o	o	conservative
M3.xml	1475	Mbair	ziehen	VVINF	--	abcziehen	ab	N	teuhan-	inf	2	ziehen	h	ziehen	h	h	conservative	ie	ie	conservative
M3.xml	1475	Mbair	ziehen	VVFIN	3.Pl.Past.Ind	czwgen		N	teuhan-	PastPlInd3	2	czwgen	h	zugen	g	g	conservative	o	u	innovative
M3.xml	1475	Mbair	ziehen	VVPP	--	erczogen	er	N	teuhan-	ppl	2	zogen	h	gezogen	g	g	conservative	o	o	conservative
M3.xml	1475	Mbair	ziehen	VVFIN	3.Pl.Past.Ind	czugen		N	teuhan-	PastPlInd3	2	czugen	h	zugen	g	g	conservative	u	u	conservative
M3.xml	1475	Mbair	ziehen	VVFIN	2.Sg.Past.Ind	erzuege	er	N	teuhan-	PastSgInd2	2	zuege	h	züge	g	g	conservative	u	u	conservative
M3.xml	1475	Mbair	ziehen	VVPP	--	abgeczogen	ab	N	teuhan-	ppl	2	geczogen	h	gezogen	g	g	conservative	o	o	conservative
Me.xml	1475	Mbair	ziehen	VVPP	--	gezogen		N	teuhan-	ppl	2	gezogen	h	gezogen	g	g	conservative	o	o	conservative
Me.xml	1475	Mbair	ziehen	VVFIN	3.Sg.Past.Ind	zogt		N	teuhan-	PastSgInd3	2	zogt	h	zôch	g	h	innovative	o	o	conservative
Me.xml	1475	Mbair	ziehen	VVFIN	3.Sg.Past.Ind	czucht		N	teuhan-	PastSgInd3	2	czucht	h	zôch	h	h	conservative	u	o	innovative
Me.xml	1475	Mbair	fliehen	VVFIN	3.Pl.Past.Ind	fluchen		N	fleuhan-	PastPlInd3	2	fluchen	h	vluhen	h	g	innovative	u	u	conservative
Me.xml	1475	Mbair	ziehen	VVFIN	3.Pl.Past.Ind	czugen		N	teuhan-	PastPlInd3	2	czugen	h	zugen	g	g	conservative	u	u	conservative
Me.xml	1475	Mbair	ziehen	VVFIN	3.Pl.Past.Ind	czugenn		N	teuhan-	PastPlInd3	2	czugenn	h	zugen	g	g	conservative	u	u	conservative
Me.xml	1475	Mbair	ziehen	VVPP	--	erzogen	er	N	teuhan-	ppl	2	zogen	h	gezogen	g	g	conservative	o	o	conservative
